"Time","Q"
2016-05-22,142.8860963
2016-05-23,150.5661063
2016-05-24,154.0888328
2016-05-25,155.1006361
2016-05-26,150.9469722
2016-05-27,153.5014299
2016-05-28,151.176776
2016-05-29,141.9911071
2016-05-30,145.1752551
2016-05-31,150.3534059
2016-06-01,149.0638504
2016-06-02,150.1643898
2016-06-03,147.1753441
2016-06-04,150.2123056
2016-06-05,139.7583078
2016-06-06,150.3313263
2016-06-07,147.8146026
2016-06-08,148.9599378
2016-06-09,148.5131952
2016-06-10,148.5405365
2016-06-11,152.2233962
2016-06-12,136.0747886
2016-06-13,144.7665738
2016-06-14,148.9064577
2016-06-15,146.8306772
2016-06-16,149.1742772
2016-06-17,148.3735849
2016-06-18,146.023674
2016-06-19,134.2575648
2016-06-20,139.5096838
2016-06-21,145.5821848
2016-06-22,145.8664766
2016-06-23,142.6913793
2016-06-24,148.4948295
2016-06-25,145.5240534
2016-06-26,136.2507706
2016-06-27,140.8195017
2016-06-28,143.511367
2016-06-29,133.779116
2016-06-30,140.5347972
2016-07-01,146.742156
2016-07-02,152.2885128
2016-07-03,136.3022048
2016-07-04,141.781016
2016-07-05,126.6953149
2016-07-06,147.2754316
2016-07-07,143.1340598
2016-07-08,145.3105673
2016-07-09,146.3868192
2016-07-10,135.3115503
2016-07-11,139.9767869
2016-07-12,142.6184872
2016-07-13,144.9825069
2016-07-14,140.6660119
2016-07-15,142.1774591
2016-07-16,143.1540424
2016-07-17,132.4571636
2016-07-18,138.5555813
2016-07-19,136.2457993
2016-07-20,148.9230024
2016-07-21,141.7746401
2016-07-22,141.2902153
2016-07-23,137.8652426
2016-07-24,136.3562391
2016-07-25,144.6190311
2016-07-26,146.3760335
2016-07-27,144.434168
2016-07-28,132.6120657
2016-07-29,125.711575
2016-07-30,131.5223262
2016-07-31,128.9975652
2016-08-01,141.303501
2016-08-02,141.1907251
2016-08-03,144.841501
2016-08-04,143.4329413
2016-08-05,146.5154881
2016-08-06,140.4999183
2016-08-07,130.4809504
2016-08-08,141.9977582
2016-08-09,145.9584259
2016-08-10,144.2913714
2016-08-11,146.0701237
2016-08-12,146.9922245
2016-08-13,146.215252
2016-08-14,137.9614295
2016-08-15,139.211473
2016-08-16,145.000216
2016-08-17,146.9623832
2016-08-18,147.5139306
2016-08-19,144.8486158
2016-08-20,142.6224638
2016-08-21,136.158339
2016-08-22,146.9149382
2016-08-23,146.1800459
2016-08-24,146.692379
2016-08-25,147.0657646
2016-08-26,146.2947729
2016-08-27,148.3550736
2016-08-28,136.977549
2016-08-29,141.3030874
2016-08-30,134.815084
2016-08-31,141.4493948
2016-09-01,147.0632685
2016-09-02,146.1032815
2016-09-03,145.8841584
2016-09-04,134.0537245
2016-09-05,143.9046568
2016-09-06,145.1369348
2016-09-07,150.354447
2016-09-08,146.3584602
2016-09-09,149.5350967
2016-09-10,150.1857334
2016-09-11,139.0668282
2016-09-12,134.9970076
2016-09-13,147.4817651
2016-09-14,149.1810501
2016-09-15,146.0020866
2016-09-16,148.7298587
2016-09-17,151.3879108
2016-09-18,141.5680691
2016-09-19,145.6216763
2016-09-20,123.9474385
2016-09-21,155.6766314
2016-09-22,149.6121045
2016-09-23,148.219657
2016-09-24,148.989504
2016-09-25,133.1870378
2016-09-26,146.3813975
2016-09-27,147.3110109
2016-09-28,149.0206695
2016-09-29,146.5834018
2016-09-30,147.443401
2016-10-01,148.0689177
2016-10-02,138.3946381
2016-10-03,140.518701
2016-10-04,148.1013807
2016-10-05,148.2635865
2016-10-06,150.965139
2016-10-07,149.5197517
